examID,quesID,ques_title,ans_choice1,ans_choice2,ans_choice3,ans_choice4,ans_correct
et4310_shortEx01,et4310_shortEx01_01,Đặc điểm của hệ thống thông tin sợi quang so với hệ thống thông tin vi ba số và vệ tinh,Băng thông rộng nhất và khoảng cách truyền dẫn xa nhất,Dung lượng lớn nhất và chất lượng truyền dẫn tín hiệu cao nhất,Tính bảo mật cao nhất và thích hợp với thông tin quảng bá,Tất cả đều đúng,Tất cả đều đúng
et4310_shortEx01,et4310_shortEx01_02,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Tổn hao do ion hydroxyl (OH) hấp thụ là một trong các tổn hao chủ yếu,Sợi quang đa mode có dung lượng lớn hơn sợi đơn mode vì nó có nhiều mode truyềnánh sáng hơn,"Trong sợi đơn mode, tán sắc mode lớn hơn nhiều so với loại tán sắc khác của nó",Tất cả đều đúng,Tất cả đều đúng
et4310_shortEx01,et4310_shortEx01_03,Hai đặc điểm của sợi quang được quan tâm nhất khi thiết kế hệ thống là,Giá thành và tính bảo mật,Độ rộng băng tần và trọng lượng,Tán sắc và tổn hao công suất quang,Độ rộng băng tần và tổn hao trên sợi quang,Độ rộng băng tần và tổn hao trên sợi quang
et4310_shortEx01,et4310_shortEx01_04,Cửa sổ quang 1550nm là vùng bước sóng ánh sáng có tính chất sau đây,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_05,Suy hao và tán sắc trong sợi quang ảnh hưởng đến chất lượng truyền dẫn tín hiệu như sau,Suy hao làm giảm tốc độ bít truyền dẫn,Tán sắc làm giảm nghiêm trọng khoảng cách giữa hai trạm trung gian,Tán sắc làm tăng tỉ lệ lỗi bit (BER),Suy hao làm giảm băng thông của tín hiệu truyền,Suy hao làm giảm băng thông của tín hiệu truyền
et4310_shortEx01,et4310_shortEx01_06,"Laser, Led phát mặt, Led phát cạnh có các đặc tính như sau:",Laser có công suất phát lớn nhất và phát ra ánh sáng không kết hợp,Led phát cạnh và Laser đều tạo ánh sáng dựa vào nguyên lý phát xạ kích thích,"Laser có độ rộng đường phổ hẹp và nhạy với nhiệt độ nhiều hơn so với Led phát mặt,Led phát cạnh",Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn,Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn
et4310_shortEx01,et4310_shortEx01_07,Laser cổ điển và Laser hồi tiếp phân bố (DFB) có những tính chất như sau:,Laser DFB có nhiều mode dọc hơn so với Laser cổ điển,Laser DFB hoạt động với tốc độ bít lớn hơn so với Laser cổ điển,Cả hai đều có cấu trúc phản xạ Bragg,"Cả ba câu trả lời a, b, c đều sai","Cả ba câu trả lời a, b, c đều sai"
et4310_shortEx01,et4310_shortEx01_08,Photodiode PIN và Photodiode APD có các đặc tính như sau:,Photodiode PIN hoạt động dựa trên nguyên lý hiệu ứng quang điện còn APD dựa trênhiệu ứng cảm nhiệt và cơ chế khuếch đại dòng điện.,Cả hai photodiode PIN và APD đều được phân cực nghịch để tạo ra vùng nghèo,Photodiode PIN có điện áp cung cấp thấp hơn so với Photodiode APD nhưng bị ảnhhưởng bởi sự thay đổi điện áp cung cấp nhiều hơn,Cả hai câu b và c đều đúng,Cả hai câu b và c đều đúng
et4310_shortEx01,et4310_shortEx01_09,Các thông số nào cần phải biết khi thiết kế hệ thống thông tin sợi quang:,Khoảng cách truyền dẫn và suy hao trên sợi quang,Tốc độ bít và tỉ lệ lỗi bít (BER),Tỉ số tín hiệu trên nhiễu và độ nhạy của máy thu,Tất cả ý trên,Tất cả ý trên
et4310_shortEx01,et4310_shortEx01_10,Độ nhạy của máy thu có các đặc điểm như sau,Là công suất tối ưu đến máy thu sao cho nó đạt được giá trị BER cho trước,Độ nhạy của một máy thu khác nhau tương ứng với tốc độ bít truyền khác nhau,Độ nhạy của một máy thu thay đổi tỉ lệ thuận với BER yêu cầu,"Các câu trả lời a, b đều đúng","Các câu trả lời a, b đều đúng"
et4310_shortEx01,et4310_shortEx01_11,Khẩu độ số NA có các đặc điểm như sau,NA liên quan đến hiệu suất ghép nối giữa sợi quang và máy thu,NA càng lớn thì góc nhận ánh sáng càng lớn,NA tỉ lệ nghịch với chiết suất n1 của lõi sợi,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_12,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Sợi quang đa mode chiết suất phân bậc (MM-SI) có độ giãn nở xung nhỏ hơn sợiquang đa mode chiết suất thay đổi đều (MM-GI),Cả hai loại sợi MM-SI và MM-GI đều có chiết suất lõi nhỏ hơn chiết suất võ sợi,Sợi quang đơn mode SM cho khoảng cách truyền dẫn xa nhất so với 2 loại sợi đamode nếu cùng công suất máy phát và cùng một bước sóng làm việc,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_13,Truyền dẫn quang trong sợi quang có đặc điểm như sau,Dựa vào hiện tượng phản xạ toàn phần với góc của tia tới lớn hơn góc tới hạn,Ánh sáng đi từ môi trường có chiết suất thấp đến môi trường có chiết suất cao hơn,Góc nhận ánh sáng đến sợi quang phải lớn hơn góc nhận maxθ trong đó sinmaxθ =NA,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_14,"Trong tính toán thiết kế tuyến, công suất dự phòng có ý nghĩa như sau",Dự phòng cho sự gia tăng tổn hao không tính toán hết được,Dự phòng cho sự già cỗi của các thành phần chủ yếu cấu tạo nên tuyến,Khả năng dự phòng tuỳ thuộc vào công suất của nguồn phát,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_15,Cấu trúc dị thể là cấu trúc được tạo bởi:,Hai vật liệu có vùng cấm (Bandgap) bằng nhau,Hai vật liệu có vùng cấm khác nhau,Hai vật liệu có vùng cấm gián tiếp (Indirect Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap)
et4310_shortEx01,et4310_shortEx01_16,Các vùng bước sóng được sử dụng trong thông tin sợi quang lần lượt theo thời gian là,"800nm, 1550nm, 1300nm","1300nm, 1550nm, 800nm","1330nm, 800nm, 1550nm","800nm, 1300nm, 1550nm","800nm, 1300nm, 1550nm"
et4310_shortEx01,et4310_shortEx01_17,Sợi quang sử dụng ánh sáng trong vùng bước sóng 1330nm đặc điểm như sau,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_18,Cấu trúc dị thể kép có đặc điểm:,Có khả năng giam các hạt mang (điện tử và lỗ trống),Được sử dụng trong Laser nhưng không được sử dụng trong LED,Là cơ sở để tạo ra điều kiện phát xạ kích thích,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_19,Lớp hoạt tính (lớp tích cực) n trong Laser có đặc điểm sau:,Có chiết suất nhỏ hơn lớp N và lớp P,Có chiết suất lớn hơn lớp N và lớp P,Cả a và c đều đúng,Có chiết suất lớn hơn lớp N và nhỏ hơn lớp P,Có chiết suất lớn hơn lớp N và nhỏ hơn lớp P
et4310_shortEx01,et4310_shortEx01_20,LED phát xạ mặt và phát xạ cạnh có các đặc điểm:,Cả hai đều phát ra ánh sáng không kết hợp,Độ rộng phổ của LED phát xạ mặt nhỏ hơn so với phát xạ cạnh,Cả hai đều có kết cấu gương phản xạ,Cả a và b đều đúng,Cả a và b đều đúng
et4310_shortEx02,et4310_shortEx02_01,Đặc điểm của hệ thống thông tin sợi quang so với hệ thống thông tin vi ba số và vệ tinh,Băng thông rộng nhất và khoảng cách truyền dẫn xa nhất,Dung lượng lớn nhất và chất lượng truyền dẫn tín hiệu cao nhất,Tính bảo mật cao nhất và thích hợp với thông tin quảng bá,Tất cả đều đúng,Tất cả đều đúng
et4310_shortEx02,et4310_shortEx02_02,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Tổn hao do ion hydroxyl (OH) hấp thụ là một trong các tổn hao chủ yếu,Sợi quang đa mode có dung lượng lớn hơn sợi đơn mode vì nó có nhiều mode truyềnánh sáng hơn,"Trong sợi đơn mode, tán sắc mode lớn hơn nhiều so với loại tán sắc khác của nó",Tất cả đều đúng,Tất cả đều đúng
et4310_shortEx02,et4310_shortEx02_03,Hai đặc điểm của sợi quang được quan tâm nhất khi thiết kế hệ thống là,Giá thành và tính bảo mật,Độ rộng băng tần và trọng lượng,Tán sắc và tổn hao công suất quang,Độ rộng băng tần và tổn hao trên sợi quang,Độ rộng băng tần và tổn hao trên sợi quang
et4310_shortEx02,et4310_shortEx02_04,Cửa sổ quang 1550nm là vùng bước sóng ánh sáng có tính chất sau đây,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_shortEx02,et4310_shortEx02_05,Suy hao và tán sắc trong sợi quang ảnh hưởng đến chất lượng truyền dẫn tín hiệu như sau,Suy hao làm giảm tốc độ bít truyền dẫn,Tán sắc làm giảm nghiêm trọng khoảng cách giữa hai trạm trung gian,Tán sắc làm tăng tỉ lệ lỗi bit (BER),Suy hao làm giảm băng thông của tín hiệu truyền,Suy hao làm giảm băng thông của tín hiệu truyền
et4310_shortEx02,et4310_shortEx02_06,"Laser, Led phát mặt, Led phát cạnh có các đặc tính như sau:",Laser có công suất phát lớn nhất và phát ra ánh sáng không kết hợp,Led phát cạnh và Laser đều tạo ánh sáng dựa vào nguyên lý phát xạ kích thích,"Laser có độ rộng đường phổ hẹp và nhạy với nhiệt độ nhiều hơn so với Led phát mặt,Led phát cạnh",Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn,Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn
et4310_shortEx02,et4310_shortEx02_07,Laser cổ điển và Laser hồi tiếp phân bố (DFB) có những tính chất như sau:,Laser DFB có nhiều mode dọc hơn so với Laser cổ điển,Laser DFB hoạt động với tốc độ bít lớn hơn so với Laser cổ điển,Cả hai đều có cấu trúc phản xạ Bragg,"Cả ba câu trả lời a, b, c đều sai","Cả ba câu trả lời a, b, c đều sai"
et4310_shortEx02,et4310_shortEx02_08,Photodiode PIN và Photodiode APD có các đặc tính như sau:,Photodiode PIN hoạt động dựa trên nguyên lý hiệu ứng quang điện còn APD dựa trênhiệu ứng cảm nhiệt và cơ chế khuếch đại dòng điện.,Cả hai photodiode PIN và APD đều được phân cực nghịch để tạo ra vùng nghèo,Photodiode PIN có điện áp cung cấp thấp hơn so với Photodiode APD nhưng bị ảnhhưởng bởi sự thay đổi điện áp cung cấp nhiều hơn,Cả hai câu b và c đều đúng,Cả hai câu b và c đều đúng
et4310_shortEx02,et4310_shortEx02_09,Các thông số nào cần phải biết khi thiết kế hệ thống thông tin sợi quang:,Khoảng cách truyền dẫn và suy hao trên sợi quang,Tốc độ bít và tỉ lệ lỗi bít (BER),Tỉ số tín hiệu trên nhiễu và độ nhạy của máy thu,Tất cả ý trên,Tất cả ý trên
et4310_shortEx02,et4310_shortEx02_10,Độ nhạy của máy thu có các đặc điểm như sau,Là công suất tối ưu đến máy thu sao cho nó đạt được giá trị BER cho trước,Độ nhạy của một máy thu khác nhau tương ứng với tốc độ bít truyền khác nhau,Độ nhạy của một máy thu thay đổi tỉ lệ thuận với BER yêu cầu,"Các câu trả lời a, b đều đúng","Các câu trả lời a, b đều đúng"
et4310_shortEx02,et4310_shortEx02_11,Khẩu độ số NA có các đặc điểm như sau,NA liên quan đến hiệu suất ghép nối giữa sợi quang và máy thu,NA càng lớn thì góc nhận ánh sáng càng lớn,NA tỉ lệ nghịch với chiết suất n1 của lõi sợi,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_shortEx02,et4310_shortEx02_12,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Sợi quang đa mode chiết suất phân bậc (MM-SI) có độ giãn nở xung nhỏ hơn sợiquang đa mode chiết suất thay đổi đều (MM-GI),Cả hai loại sợi MM-SI và MM-GI đều có chiết suất lõi nhỏ hơn chiết suất võ sợi,Sợi quang đơn mode SM cho khoảng cách truyền dẫn xa nhất so với 2 loại sợi đamode nếu cùng công suất máy phát và cùng một bước sóng làm việc,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx02,et4310_shortEx02_13,Truyền dẫn quang trong sợi quang có đặc điểm như sau,Dựa vào hiện tượng phản xạ toàn phần với góc của tia tới lớn hơn góc tới hạn,Ánh sáng đi từ môi trường có chiết suất thấp đến môi trường có chiết suất cao hơn,Góc nhận ánh sáng đến sợi quang phải lớn hơn góc nhận maxθ trong đó sinmaxθ =NA,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx02,et4310_shortEx02_14,"Trong tính toán thiết kế tuyến, công suất dự phòng có ý nghĩa như sau",Dự phòng cho sự gia tăng tổn hao không tính toán hết được,Dự phòng cho sự già cỗi của các thành phần chủ yếu cấu tạo nên tuyến,Khả năng dự phòng tuỳ thuộc vào công suất của nguồn phát,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx02,et4310_shortEx02_15,Cấu trúc dị thể là cấu trúc được tạo bởi:,Hai vật liệu có vùng cấm (Bandgap) bằng nhau,Hai vật liệu có vùng cấm khác nhau,Hai vật liệu có vùng cấm gián tiếp (Indirect Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap)
et4310_shortEx02,et4310_shortEx02_16,Các vùng bước sóng được sử dụng trong thông tin sợi quang lần lượt theo thời gian là,"800nm, 1550nm, 1300nm","1300nm, 1550nm, 800nm","1330nm, 800nm, 1550nm","800nm, 1300nm, 1550nm","800nm, 1300nm, 1550nm"
et4310_shortEx02,et4310_shortEx02_17,Sợi quang sử dụng ánh sáng trong vùng bước sóng 1330nm đặc điểm như sau,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx02,et4310_shortEx02_18,Cấu trúc dị thể kép có đặc điểm:,Có khả năng giam các hạt mang (điện tử và lỗ trống),Được sử dụng trong Laser nhưng không được sử dụng trong LED,Là cơ sở để tạo ra điều kiện phát xạ kích thích,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx02,et4310_shortEx02_19,Lớp hoạt tính (lớp tích cực) n trong Laser có đặc điểm sau:,Có chiết suất nhỏ hơn lớp N và lớp P,Có chiết suất lớn hơn lớp N và lớp P,Cả a và c đều đúng,Có chiết suất lớn hơn lớp N và nhỏ hơn lớp P,Có chiết suất lớn hơn lớp N và nhỏ hơn lớp P
et4310_shortEx02,et4310_shortEx02_20,LED phát xạ mặt và phát xạ cạnh có các đặc điểm:,Cả hai đều phát ra ánh sáng không kết hợp,Độ rộng phổ của LED phát xạ mặt nhỏ hơn so với phát xạ cạnh,Cả hai đều có kết cấu gương phản xạ,Cả a và b đều đúng,Cả a và b đều đúng
et4310_ck,et4310_ck_01,Đặc điểm của hệ thống thông tin sợi quang so với hệ thống thông tin vi ba số và vệ tinh,Băng thông rộng nhất và khoảng cách truyền dẫn xa nhất,Dung lượng lớn nhất và chất lượng truyền dẫn tín hiệu cao nhất,Tính bảo mật cao nhất và thích hợp với thông tin quảng bá,Tất cả đều đúng,Tất cả đều đúng
et4310_ck,et4310_ck_02,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Tổn hao do ion hydroxyl (OH) hấp thụ là một trong các tổn hao chủ yếu,Sợi quang đa mode có dung lượng lớn hơn sợi đơn mode vì nó có nhiều mode truyềnánh sáng hơn,"Trong sợi đơn mode, tán sắc mode lớn hơn nhiều so với loại tán sắc khác của nó",Tất cả đều đúng,Tất cả đều đúng
et4310_ck,et4310_ck_03,Hai đặc điểm của sợi quang được quan tâm nhất khi thiết kế hệ thống là,Giá thành và tính bảo mật,Độ rộng băng tần và trọng lượng,Tán sắc và tổn hao công suất quang,Độ rộng băng tần và tổn hao trên sợi quang,Độ rộng băng tần và tổn hao trên sợi quang
et4310_ck,et4310_ck_04,Cửa sổ quang 1550nm là vùng bước sóng ánh sáng có tính chất sau đây,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_ck,et4310_ck_05,Suy hao và tán sắc trong sợi quang ảnh hưởng đến chất lượng truyền dẫn tín hiệu như sau,Suy hao làm giảm tốc độ bít truyền dẫn,Tán sắc làm giảm nghiêm trọng khoảng cách giữa hai trạm trung gian,Tán sắc làm tăng tỉ lệ lỗi bit (BER),Suy hao làm giảm băng thông của tín hiệu truyền,Suy hao làm giảm băng thông của tín hiệu truyền
et4310_ck,et4310_ck_06,"Laser, Led phát mặt, Led phát cạnh có các đặc tính như sau:",Laser có công suất phát lớn nhất và phát ra ánh sáng không kết hợp,Led phát cạnh và Laser đều tạo ánh sáng dựa vào nguyên lý phát xạ kích thích,"Laser có độ rộng đường phổ hẹp và nhạy với nhiệt độ nhiều hơn so với Led phát mặt,Led phát cạnh",Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn,Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn
et4310_ck,et4310_ck_07,Laser cổ điển và Laser hồi tiếp phân bố (DFB) có những tính chất như sau:,Laser DFB có nhiều mode dọc hơn so với Laser cổ điển,Laser DFB hoạt động với tốc độ bít lớn hơn so với Laser cổ điển,Cả hai đều có cấu trúc phản xạ Bragg,"Cả ba câu trả lời a, b, c đều sai","Cả ba câu trả lời a, b, c đều sai"
et4310_ck,et4310_ck_08,Photodiode PIN và Photodiode APD có các đặc tính như sau:,Photodiode PIN hoạt động dựa trên nguyên lý hiệu ứng quang điện còn APD dựa trênhiệu ứng cảm nhiệt và cơ chế khuếch đại dòng điện.,Cả hai photodiode PIN và APD đều được phân cực nghịch để tạo ra vùng nghèo,Photodiode PIN có điện áp cung cấp thấp hơn so với Photodiode APD nhưng bị ảnhhưởng bởi sự thay đổi điện áp cung cấp nhiều hơn,Cả hai câu b và c đều đúng,Cả hai câu b và c đều đúng
et4310_ck,et4310_ck_09,Các thông số nào cần phải biết khi thiết kế hệ thống thông tin sợi quang:,Khoảng cách truyền dẫn và suy hao trên sợi quang,Tốc độ bít và tỉ lệ lỗi bít (BER),Tỉ số tín hiệu trên nhiễu và độ nhạy của máy thu,Tất cả ý trên,Tất cả ý trên
et4310_ck,et4310_ck_10,Độ nhạy của máy thu có các đặc điểm như sau,Là công suất tối ưu đến máy thu sao cho nó đạt được giá trị BER cho trước,Độ nhạy của một máy thu khác nhau tương ứng với tốc độ bít truyền khác nhau,Độ nhạy của một máy thu thay đổi tỉ lệ thuận với BER yêu cầu,"Các câu trả lời a, b đều đúng","Các câu trả lời a, b đều đúng"
et4310_ck,et4310_ck_11,Khẩu độ số NA có các đặc điểm như sau,NA liên quan đến hiệu suất ghép nối giữa sợi quang và máy thu,NA càng lớn thì góc nhận ánh sáng càng lớn,NA tỉ lệ nghịch với chiết suất n1 của lõi sợi,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_ck,et4310_ck_12,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Sợi quang đa mode chiết suất phân bậc (MM-SI) có độ giãn nở xung nhỏ hơn sợiquang đa mode chiết suất thay đổi đều (MM-GI),Cả hai loại sợi MM-SI và MM-GI đều có chiết suất lõi nhỏ hơn chiết suất võ sợi,Sợi quang đơn mode SM cho khoảng cách truyền dẫn xa nhất so với 2 loại sợi đamode nếu cùng công suất máy phát và cùng một bước sóng làm việc,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_ck,et4310_ck_13,Truyền dẫn quang trong sợi quang có đặc điểm như sau,Dựa vào hiện tượng phản xạ toàn phần với góc của tia tới lớn hơn góc tới hạn,Ánh sáng đi từ môi trường có chiết suất thấp đến môi trường có chiết suất cao hơn,Góc nhận ánh sáng đến sợi quang phải lớn hơn góc nhận maxθ trong đó sinmaxθ =NA,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_ck,et4310_ck_14,"Trong tính toán thiết kế tuyến, công suất dự phòng có ý nghĩa như sau",Dự phòng cho sự gia tăng tổn hao không tính toán hết được,Dự phòng cho sự già cỗi của các thành phần chủ yếu cấu tạo nên tuyến,Khả năng dự phòng tuỳ thuộc vào công suất của nguồn phát,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_ck,et4310_ck_15,Cấu trúc dị thể là cấu trúc được tạo bởi:,Hai vật liệu có vùng cấm (Bandgap) bằng nhau,Hai vật liệu có vùng cấm khác nhau,Hai vật liệu có vùng cấm gián tiếp (Indirect Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap)
et4310_ck,et4310_ck_16,Các vùng bước sóng được sử dụng trong thông tin sợi quang lần lượt theo thời gian là,"800nm, 1550nm, 1300nm","1300nm, 1550nm, 800nm","1330nm, 800nm, 1550nm","800nm, 1300nm, 1550nm","800nm, 1300nm, 1550nm"
et4310_ck,et4310_ck_17,Sợi quang sử dụng ánh sáng trong vùng bước sóng 1330nm đặc điểm như sau,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_ck,et4310_ck_18,Cấu trúc dị thể kép có đặc điểm:,Có khả năng giam các hạt mang (điện tử và lỗ trống),Được sử dụng trong Laser nhưng không được sử dụng trong LED,Là cơ sở để tạo ra điều kiện phát xạ kích thích,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_ck,et4310_ck_19,Lớp hoạt tính (lớp tích cực) n trong Laser có đặc điểm sau:,Có chiết suất nhỏ hơn lớp N và lớp P,Có chiết suất lớn hơn lớp N và lớp P,Cả a và c đều đúng,Có chiết suất lớn hơn lớp N và nhỏ hơn lớp P,Có chiết suất lớn hơn lớp N và nhỏ hơn lớp P
et4310_ck,et4310_ck_20,LED phát xạ mặt và phát xạ cạnh có các đặc điểm:,Cả hai đều phát ra ánh sáng không kết hợp,Độ rộng phổ của LED phát xạ mặt nhỏ hơn so với phát xạ cạnh,Cả hai đều có kết cấu gương phản xạ,Cả a và b đều đúng,Cả a và b đều đúng
et2040_ck,et2040_ck_01,Điên trở dùng để ?,Phân chia điện áp,Phân chia dòng điện,Hạn chế tín hiệu,Tất cả đều đúng,Hạn chế tín hiệu
et2040_ck,et2040_ck_02,Khi nhiệt độ tăng làm tăng giá trị điện trở là,Điện trở quang,Điện trở nhiệt dương,Điện trở nhiệt âm,Tất cả đều sai,Điện trở nhiệt âm
et2040_ck,et2040_ck_03,Khi nhiệt độ tăng làm giảm giá trị điện trở là,Điện trở nhiệt dương,Điện trở quang,Điện trở nhiệt âm,Tất cả đều sai,Điện trở nhiệt âm
et2040_ck,et2040_ck_04,Điện trở quang là điện trở,Khi cường độ ánh sáng chiếu vào càng nhỏ thì trị số điện trở càng nhỏ,Khi cường độ ánh sáng chiếu vào càng lớn thì trị số điện trở càng lớn,Khi cường độ ánh sáng chiếu vào càng lớn thì trị số điện trở càng nhỏ,Tất cả đều đúng,Khi cường độ ánh sáng chiếu vào càng lớn thì trị số điện trở càng nhỏ
et2040_ck,et2040_ck_05,Tụ điên có chức năng:,Ngăn điện áp một chiều,Lọc tín hiệu,Cho tín hiệu xoay chiều đi qua,Tất cả đều đúng,Cho tín hiệu xoay chiều đi qua
et2040_ck,et2040_ck_06,Khi ghép song song các tụ điện với nhau thì giá trị điện dung tổng,Tăng,Giảm,Không thay đổi,A và C đều sai,Không thay đổi
et2040_ck,et2040_ck_07,Điện trở có khả năng,Ngăn dòng điện một chiều,Ngăn dòng điện xoay chiều,Khuếch đại,Tất cả đều sai,Khuếch đại
et2040_ck,et2040_ck_08,Tụ điện có khả năng,Khuếch đại,Chỉnh lưu,Hạn chế dòng điện,Tất cả đều sai,Hạn chế dòng điện
et2040_ck,et2040_ck_09,Cuộn cảm có các tính chất đặc trưng là:,Ngăn dòng điện một chiều,Ngăn dòng điện xoay chiều,Cho dòng điện một chiều đi qua dể dàng,Cả B và C đều đúng,Cho dòng điện một chiều đi qua dể dàng
et2040_ck,et2040_ck_10, Ghép nối song song điện trở R1= 15kΩ với điện trở R2= 12 kΩ. Điệntrở tương đương bằng,"6,55 kΩ","6,75 kΩ","6,67 kΩ","6,80 kΩ","6,67 kΩ"
et2040_ck,et2040_ck_11,Ghép nối tiếp tụ C1= 150pF với tụ C2= 200pF. Điện dung tương đương bằng,"85,71 pF","85,81pF","85,91pF","85,51pF","85,91pF"
et2040_ck,et2040_ck_12,"R, L, C là loại linh kiện",Bán dẫn,Thụ động,Tích cực,Tất cả đều đúng,Tích cực
et2040_ck,et2040_ck_13,Khi tiếp xúc P-N phân cực thuận thì,"Hàng rào thế năng giảm, bề dày lớp tiếp xúc tăng, điện trở lớp tiếp xúc tăng","Hàng rào thế năng tăng, bề dày lớp tiếp xúc giảm, điện trở lớp tiếp xúc giảm","Hàng rào thế năng giảm, bề dày lớp tiếp xúc giảm, điện trở lớp tiếp xúc giảm","Hàng rào thế năng tăng, bề dày lớp tiếp xúc tăng, điện trở lớp tiếp xúc tăng","Hàng rào thế năng giảm, bề dày lớp tiếp xúc giảm, điện trở lớp tiếp xúc giảm"
et2040_ck,et2040_ck_14,"Khi lớp tiếp xúc P-N phân cực thuận, dòng điện thuận chạy qua lớp tiếp xúc là do",Các hạt dẫn thiểu số khuếch tán sang lớp tiếp xúc tạo nên,Các hạt dẫn đa số khuếch tán sang lớp tiếp xúc tạo nên,Các hạt dẫn đa số chuyển động trôi dưới tác động của điện trường tiếp xúc tạo nên,Cả hạt dẫn đa số và thiểu số chuyển động trôi dưới tác động của điện trường tiếp xúc tạo nên,Các hạt dẫn đa số chuyển động trôi dưới tác động của điện trường tiếp xúc tạo nên
et2040_ck,et2040_ck_15,Diod bán dẫn được phân cực thuận khi điện áp đặt lên diod phải,UAK= UD,UAK≥ UD,UAK≤ UD,UAK= 0,UAK≤ UD
et2040_ck,et2040_ck_16,Diod Zener là,Diod ổn áp,Diod chỉnh lưu,Diod phát quang,Diod thu quang,Diod phát quang
et2040_ck,et2040_ck_17,LED là,Diod thu quang,Diod phát quang,Transistor thu quang,Transistor phát quang,Transistor thu quang
et2040_ck,et2040_ck_18,Varicap là diod bán dẫn có chức năng như,Một cuộn cảm,Biến áp,Tụ điện,Điện trở,Tụ điện
et2040_ck,et2040_ck_19,Diodcó khả năng biến đổi dòng điện xoay chiều thành dòng điện một chiều được gọi là,Diod ổn áp,Diod biến dung,Diod chỉnh lưu,Diod chuyển mạch,Diod chỉnh lưu
et2040_ck,et2040_ck_20,"Trong Trasistor lưỡng cực loại N-P-N, hạt dẫn đa số trong cực gốc (cực B) là",Cả điện tử tự do và lỗ trống,Các lỗ trống,Các điện tử tự do,Tất cả đều sai,Các điện tử tự do
